#[event number] [num events] [num hit detectors] [ID1.chan] [JD1] [Rising edge 1], [ID2.chan] [JD2] [Rising edge 2], ...
#gatewidth=1.15740740740741e-11 (1000 nanoseconds), detector coincidence=2, channel coincidence=2, event coincidence=2
Evnt	#HitDAQ1	#HitDAQ2	MinFracDay	JulDay	SSDB	eventDateTime	6119.1FracDay	6119.1nsAfter1stHit	6119.2FracDay	6119.2nsAfter1stHit	6119.3FracDay	6119.3nsAfter1stHit	6119.4FracDay	6119.4nsAfter1stHit	6148.1FracDay	6148.1nsAfter1stHit	6148.2FracDay	6148.2nsAfter1stHit	6148.3FracDay	6148.3nsAfter1stHit	6148.4FracDay	6148.4nsAfter1stHit
141	4	2	0.0253036472170434	2457068	2186.23511955255	Feb 14, 2015 12:36:26 UTC	0.0253036472170579	1.253	0.0253036472170579	1.253	0.0253036472170434	0.0	0.0253036472170868	3.75	-1	-1	0.0253036472198831	245.35	-1	-1	0.0253036472198518	242.646	
142	4	2	0.0309801233415226	2457068	2676.6826567075527	Feb 14, 2015 12:44:36 UTC	0.0309801233415660	3.75	0.0309801233415226	0.0	0.0309801233415515	2.497	0.0309801233415515	2.497	0.0309801233445075	257.895	-1	-1	0.0309801233445336	260.151	-1	-1	
143	4	2	0.037870681663195	2457068	3272.026895700048	Feb 14, 2015 12:54:32 UTC	0.0378706816632240	2.505	0.0378706816631950	0.0	0.0378706816631950	0.0	0.0378706816631950	0.0	0.0378706816662234	261.653	0.0378706816660926	250.353	-1	-1	-1	-1	
144	3	3	0.0384312460861696	2457068	3320.4596618450537	Feb 14, 2015 12:55:20 UTC	0.0384312460862564	7.499	0.0384312460861696	0.0	0.0384312460865168	29.998	-1	-1	-1	-1	0.0384312460889659	241.6	0.0384312460889925	243.899	0.0384312460890359	247.648	
145	4	2	0.0452169661663056	2457068	3906.7458767688036	Feb 14, 2015 13:05:06 UTC	0.0452169661663490	3.75	0.0452169661663056	0.0	0.0452169661663200	1.244	0.0452169661663779	6.247	-1	-1	-1	-1	0.0452169661692587	255.148	0.0452169661691719	247.649	
146	4	4	0.0462273795689821	2457068	3994.045594760053	Feb 14, 2015 13:06:34 UTC	0.0462273795690255	3.75	0.0462273795689821	0.0	0.0462273795690255	3.75	0.0462273795689965	1.245	0.0462273795720973	269.153	0.0462273795720388	264.099	0.0462273795720509	265.145	0.0462273795719930	260.142	
147	4	3	0.0508607479752031	2457068	4394.368625057547	Feb 14, 2015 13:13:14 UTC	0.0508607479752176	1.253	0.0508607479752321	2.506	0.0508607479752176	1.253	0.0508607479752031	0.0	0.0508607479786511	297.908	0.0508607479786360	296.603	0.0508607479785324	287.652	-1	-1	
148	4	2	0.0541260694363287	2457068	4676.4923992988	Feb 14, 2015 13:17:56 UTC	0.0541260694363287	0.0	0.0541260694363287	0.0	0.0541260694363287	0.0	0.0541260694363432	1.252	0.0541260694398200	301.648	0.0541260694397471	295.35	-1	-1	-1	-1	
149	4	2	0.0684495999176221	2457068	5914.04543288255	Feb 14, 2015 13:38:34 UTC	0.0684495999176945	6.255	0.0684495999176221	0.0	0.0684495999176655	3.749	0.0684495999176221	0.0	0.0684495999210989	300.396	0.0684495999210550	296.602	-1	-1	-1	-1	
150	4	4	0.0799283960620232	2457068	6905.813419758805	Feb 14, 2015 13:55:05 UTC	0.0799283960620376	1.243	0.0799283960620232	0.0	0.0799283960620376	1.243	0.0799283960620376	1.243	0.0799283960655000	300.395	0.0799283960652969	282.848	0.0799283960651499	270.146	0.0799283960651933	273.896	
